Data;7384 - Vendas de veículos pelas concessionárias - Automóveis - Média Móvel (6 meses)
09/2013;237.260
10/2013;236.080
11/2013;234.584
12/2013;238.872
01/2014;239.769
02/2014;233.514
03/2014;228.276
04/2014;227.648
05/2014;229.248
06/2014;221.425
07/2014;217.954
08/2014;220.101
09/2014;227.530
10/2014;228.822
11/2014;229.181
12/2014;244.430
01/2015;239.689
02/2015;228.487
03/2015;221.042
04/2015;210.460
05/2015;200.600
06/2015;179.325
07/2015;176.131
08/2015;179.931
09/2015;176.012
10/2015;173.074
11/2015;171.464
12/2015;174.452
01/2016;165.162
02/2016;156.846
03/2016;153.728
04/2016;148.806
05/2016;144.051
06/2016;135.114
07/2016;137.668
08/2016;142.041
09/2016;139.267
10/2016;139.314
11/2016;141.188
12/2016;146.256
01/2017;142.056
02/2017;135.957
03/2017;140.466
04/2017;140.325
05/2017;142.760
06/2017;141.270
07/2017;146.320
08/2017;157.738
09/2017;159.396
10/2017;165.287
11/2017;166.221
12/2017;168.046
01/2018;167.606
02/2018;159.090
03/2018;159.896
04/2018;161.889
05/2018;161.144
06/2018;159.730
07/2018;164.231
08/2018;176.583
09/2018;176.639
10/2018;181.613
11/2018;186.231
12/2018;190.543
01/2019;188.499
02/2019;181.601
03/2019;181.147
04/2019;177.884
05/2019;178.990
06/2019;177.640
07/2019;182.982
08/2019;188.548
09/2019;191.436
10/2019;194.007
11/2019;193.670
12/2019;199.317
01/2020;192.439
02/2020;187.306
03/2020;177.881
04/2020;150.379
05/2020;124.945
06/2020;106.149
07/2020;102.878
08/2020;99.029
09/2020;104.003
10/2020;125.495
11/2020;147.731
12/2020;163.106
01/2021;162.414
02/2021;160.089
03/2021;156.896
04/2021;150.061
05/2021;144.244
06/2021;134.021
07/2021;132.820
08/2021;131.442
09/2021;125.965
10/2021;124.609
11/2021;121.826
12/2021;125.633
01/2022;120.405
02/2022;117.106
03/2022;116.969
04/2022;115.368
05/2022;117.621
06/2022;113.862
07/2022;121.080
08/2022;130.280
09/2022;136.110
10/2022;140.661
11/2022;143.878
12/2022;148.975
01/2023;143.701
02/2023;133.802
Fonte;Fenabrave
